Titre	Texte	Image	Texte bonne reponse	Texte mauvaise reponse	Bonne reponse	Reponse 1	Reponse 2	Reponse 3
La France organise l’Euro pour la…					3	Première fois	Deuxième fois	Troisième fois
Comment appelle-t-on l’entraîneur de l’équipe de France ?					1	Le sélectionneur	Le Bleu	Le capitaine
Combien de joueurs y a-t-il en tout dans une sélection nationale ?					2	11	23	10
Qu’est-ce qu’un remplaçant ?					2	Un joueur qui peut remplacer l’arbitre	Un joueur qui peut remplacer un joueur blessé ou fatigué	Un joueur qui peut remplacer l’entraîneur
Quel est le rôle du capitaine ?					1	Il représente son équipe auprès de l’arbitre	Il choisit les joueurs qui participent à l’Euro	Il mange du pop-corn pendant que les autres courent
A quel poste joue un footballeur dont le rôle est de marquer des buts ?					2	Défenseur	Attaquant	Marquant
Quel est le surnom des joueurs de l’équipe de France ?					2	Les François	Les Bleus	Les Zidanes
Où la finale de l’Euro aura-t-elle lieu ?					1	Au Stade de France	Au Brésil	Chez Didier Deschamps
Qu’est-ce qu’une fan-zone ?					3	Un lieu où les supporteurs n’ont pas le droit d’aller	Un lieu où les supporteurs ne doivent pas faire de bruit	Un lieu où les supporteurs peuvent regarder les matchs sur écran géant
On est habitués à voir Zlatan Ibrahimovic jouer au PSG, mais pour l’Euro il jouera…					2	Avec la France	Avec la Suède	Avec l’Angleterre
