Nom	Picture	Line	Poste	Age	Club	Sélections	Texte	Crédits
Yohan Cabaye	CABAYE.png	5	Milieu de terrain	30	Crystal Palace (Angleterre)	45		Photo Charles Platiau. Reuters
Kingsley Coman	COMAN.png	5	Ailier	19	Bayern Munich (Allemagne)	4		Photo Franck Fife. AFP
Benoît Costil	COSTIL.png	1	Gardien	28	Rennes	0		Photo Benoît Tessier. Reuters
Lucas Digne	DIGNE.png	2	Arrière gauche	22	AS Rome (Italie)	12		Photo Odd Andersen. AFP
Patrice Evra	EVRA.png	2	Arrière gauche	35	Juventus de Turin (Italie)	72	Il est <strong>arrière gauche</strong>, c’est-à-dire qu’il est <strong>défenseur</strong>, juste devant le gardien, sur le côté gauche du terrain. En club, il a joué à Nice, à Monaco, à Manchester United (Angleterre) et aujourd’hui à la Juventus de Turin (Italie). Ça fait beaucoup&nbsp;! C’est normal&nbsp;: il a 35&nbsp;ans, c’est le plus âgé des 23&nbsp;Français qui participent à l’Euro. Il est sélectionné en équipe de France depuis douze&nbsp;ans. Son expérience fait qu’il est très respecté par ses coéquipiers, qui voient en lui un modèle. Il a déjà été capitaine de l’équipe de France dans le passé, et même si ce n’est plus le cas aujourd’hui, il reste très écouté par les autres joueurs. Il a donc un rôle très important dans l’équipe.	Photo Charles Platiau. Reuters
André-Pierre Gignac	GIGNAC.png	6	Attaquant	30	Monterrey (Mexique)	26		Photo Franck Fife. AFP
Olivier Giroud	GIROUD.png	6	Attaquant	29	Arsenal (Angleterre)	48		Photo Charles Platiau. Reuters
Antoine Griezmann	GRIEZMANN.png	6	Ailier ou attaquant	25	Atletico Madrid (Espagne)	26	Il est <strong>attaquant</strong> à l’Atlético Madrid (Espagne)&nbsp;: son rôle principal est de marquer des buts ou d’aider ses coéquipiers à en marquer. Et il est très doué pour ça&nbsp;! Enfant, il se faisait gronder à l’école parce qu’il jouait au foot dans les toilettes au lieu d’être en classe. A&nbsp;14&nbsp;ans, il a accepté de quitter la France et d’aller en Espagne (au club de la Real Sociedad) pour réaliser son rêve de devenir footballeur professionnel. En France, c’était trop compliqué, car les clubs dans lesquels il jouait le jugeaient trop petit et trop maigre. Le voilà aujourd’hui devenu l’un des meilleurs joueurs du monde, et l’équipe de France compte énormément sur lui pour aller jusqu’en finale.	Charles Platiau. Reuters
Christophe Jallet	JALLET.png	2	Arrière droit ou gauche	32	Lyon	11		Photo Odd Andersen. AFP
N’Golo Kante	KANTE.png	5	Milieu de terrain	25	Leicester (Angleterre)	3		Photo Franck Fife. AFP
Laurent Koscielny	KOSCIELNY.png	3	Défenseur central	30	Arsenal (Angleterre)	28		Photo Franck Fife. AFP
Hugo Lloris	LLORIS.png	1	Gardien	29	Tottenham (Angleterre)	74	Il joue en Angleterre, à Tottenham, et c’est le <strong>gardien</strong> de l’équipe de France. C’est donc lui qui doit empêcher le <strong>ballon</strong> de l’adversaire d’entrer dans les <strong>buts</strong>. Il a déjà participé à l’Euro&nbsp;2012 et aux Coupes du monde&nbsp;2010 et&nbsp;2014. Depuis quatre&nbsp;ans, il est aussi <strong>capitaine</strong>&nbsp;: il porte un brassard pour qu’on puisse le reconnaître et il représente son équipe auprès de l’<strong>arbitre</strong>, qui est là pour faire respecter les règles pendant le match.	Photo Franck Fife. AFP
Steve Mandanda	MANDANDA.png	1	Gardien	31	Marseille	22		Photo Franck Fife. AFP
Eliaquim Mangala	MANGALA.png	3	Défenseur central	25	Manchester City (Angleterre)	7		Photo Bob Edme. AP
Anthony Martial	MARTIAL.png	6	Attaquant ou ailier	20	Manchester United (Angleterre)	8		Photo Franck Fife. AFP
Blaise Matuidi	MATUIDI.png	4	Milieu de terrain	29	PSG	43		Photo Franck Fife. AFP
Dimitri Payet	PAYET.png	5	Milieu de terrain ou ailier	29	West Ham (Angleterre)	18		Photo Franck Fife. AFP
Paul Pogba	POGBA.png	4	Milieu de terrain	23	Juventus de Turin (Italie)	30	Il s’est fait remarquer très jeune en équipe de France et dans son club, la Juventus de Turin (Italie). Agé de 23&nbsp;ans, il est indispensable à son poste de <strong>milieu de terrain</strong> (entre la défense et l’attaque). Il est grand et puissant mais il est aussi très technique et créatif&nbsp;: il peut <strong>dribbler</strong> plusieurs joueurs, c’est-à-dire se faufiler entre eux en gardant le ballon, et marque de loin. Chez les Pogba, le football est une passion&nbsp;: ses deux grands frères, des jumeaux, sont aussi footballeurs professionnels, c’est-à-dire que c’est leur métier. Paul Pogba aime aussi beaucoup changer de coiffure.	Photo Marco Vasini. AP
Adil Rami	RAMI.png	3	Défenseur central	30	FC Séville (Espagne)	27		Photo Franck Fife. AFP
Bacary Sagna	SAGNA.png	2	Arrière droit	33	Manchester City (Angleterre)	56		Photo Franck Fife. AFP
Moussa Sissoko	SISSOKO.png	4	Milieu de terrain ou ailier	26	Newcastle (Angleterre)	37		Photo Charles Platiau. Reuters
Samuel Umtiti	UMTITI-30.png	3	Défenseur central	22	Lyon	0		Photo Franck Fife. AFP
Morgan Schneiderlin	schneiderlin.png	4	Milieu de terrain	26	Manchester United (Angleterre)	15		Photo Odd Andersen. AFP
